farm_id,soil_moisture,temperature,humidity,rain_forecast,crop_type,growth_stage,soil_type,land_size,water_demand,sufficient_water_threshold,water_applied,remaining_water_need,priority_score
1,0.3872700594236812,34.7973433477386,66.7008701246256,0,potato,maturity,sandy,0.673936415037166,178.33875121102793,169.4218136504765,0.0,178.33875121102793,71.62034813779962
2,0.675357153204958,27.68276020453557,57.43626716971852,0,cumin,maturity,loam,9.98146203862876,102.9785793482324,97.82965038082078,0.0,102.9785793482324,42.46464937379683
3,0.5659969709057024,25.409782222498905,57.30336902086234,1,rapeseed,vegetative,clay,6.991767862239642,197.766325195431,187.87800893565944,0.0,197.766325195431,79.9489062585775
4,0.4993292420985182,32.050632842053794,79.72175165742816,0,cabbage,maturity,silt,4.544411463462102,127.24648344436152,120.88415927214344,0.0,127.24648344436152,51.58290037251053
5,0.2780093202212182,29.50986502648344,72.70339420935612,1,chickpeas,maturity,loam,3.240329378296852,126.4715060342319,120.1479307325203,0.0,126.4715060342319,50.99823721556669
6,0.2779972601681013,26.007528439595763,75.10818074873151,0,rapeseed,grain_filling,silt,0.5420321656920748,199.7499367244732,189.76243988824953,0.0,199.7499367244732,80.13977735839211
7,0.2290418060840997,32.075228189780425,67.15948056032038,1,millets,maturity,sandy,1.9626143907870328,132.32625536886616,125.70994260042285,0.0,132.32625536886616,53.23257194784198
8,0.6330880728874675,25.31174909111921,76.13042862181248,0,onion,maturity,silt,0.5557776813976725,172.75175309023584,164.11416543572403,0.0,172.75175309023584,69.4228966188116
9,0.5005575058716043,33.70196690492242,69.36471617499059,0,rice,harvest,loam,6.17705208685533,302.68746866339177,287.55309523022214,0.0,302.68746866339177,121.97280417521658
10,0.5540362888980227,26.38652529113304,78.38521114389036,1,maize,harvest,sandy,6.801761079699801,162.7859238935362,154.64662769885936,0.0,162.7859238935362,65.94535292316407
11,0.2102922471479012,26.27311878746725,58.44015758136911,0,groundnut,seeding,loam,7.784563352754917,127.8033533351082,121.41318566835278,0.0,127.8033533351082,52.081856118748355
12,0.6849549260809971,26.756722979685847,67.85958637348685,0,sunflower,flowering,sandy,2.276493877542938,230.41369535178748,218.8930105841981,0.0,230.41369535178748,92.6701185136855
13,0.6162213204002108,34.60266358492066,70.70394043810677,0,turmeric,seeding,clay,1.4117232666811848,219.37782389255327,208.4089326979256,0.0,219.37782389255327,88.16554614776948
14,0.3061695553391381,31.93169360253846,61.7881191508342,1,sweet potato,seeding,silt,6.679361479199247,154.64048258443697,146.9084584552151,0.0,154.64048258443697,62.62536309276254
15,0.2909124836035503,33.01371535463637,76.3912394721216,0,cotton,vegetative,silt,5.248994130926933,177.0125807884182,168.1619517489973,0.0,177.0125807884182,71.50811422518069
16,0.2917022549267169,28.97634985732753,79.39409489312463,1,sunflower,flowering,clay,8.8190160507041,183.07129505586107,173.917730303068,0.0,183.07129505586107,74.20876007840019
17,0.3521211214797688,28.36312727504956,64.81308474117985,0,sweet potato,vegetative,clay,5.566027224127627,175.65019065181298,166.8676811192223,0.0,175.65019065181298,71.02710320743391
18,0.4623782158161189,27.3448400678317,61.71921964413017,0,banana,maturity,silt,4.725801588120651,329.55338162936937,313.0757125479009,0.0,329.55338162936937,132.54640845372305
19,0.4159725093210579,29.80648028312409,64.15813785669376,1,cauliflower,harvest,clay,5.136264145894664,107.3035677535416,101.93838936586451,0.0,107.3035677535416,43.54824801787032
20,0.3456145700990209,30.51828733534169,75.58210237195794,1,millets,maturity,sandy,7.932056324209107,130.2199905265228,123.70899100019665,0.0,130.2199905265228,53.01032475704984
21,0.5059264473611897,31.317748436527552,69.36405276554503,1,mustard,vegetative,silt,0.6738993913756424,127.7641992526124,121.37598928998177,0.0,127.7641992526124,51.30425492965477
22,0.2697469303260209,27.571185039986943,51.34317117554285,1,pearl millet,harvest,loam,9.2230087132826,190.61494403119715,181.08419682963728,0.0,190.61494403119715,77.25222786987233
23,0.346072324267609,34.486540809029904,66.26509731337144,1,rice,seeding,clay,7.284795903548781,270.0503828048602,256.5478636646172,0.0,270.0503828048602,108.89784717715249
24,0.3831809216468458,26.69758498207136,50.5190036822291,1,turmeric,maturity,sandy,8.910252533333328,192.14510611211196,182.53785080650636,0.0,192.14510611211196,77.87570388250751
25,0.4280349921085179,34.656531747664125,73.35606113010216,0,beans,vegetative,silt,9.616190447208718,145.3296108322607,138.06313029064765,0.0,145.3296108322607,59.31907037604685
26,0.5925879806965068,25.14856122507504,59.84936820627391,0,pearl millet,maturity,silt,2.647035034392727,167.31673887799258,158.95090193409294,0.0,167.31673887799258,67.4399166507756
27,0.2998368910791799,29.811256918168457,64.16022446351988,0,pulses,flowering,sandy,5.994237535175618,122.13473938366984,116.02800241448634,0.0,122.13473938366984,49.65328688520134
28,0.4571172192068057,28.333678381165623,73.96034317722896,0,sweet potato,vegetative,clay,5.117415397589669,179.00221193643844,170.0521013396165,0.0,179.00221193643844,72.34404975817571
29,0.4962072844310212,29.491234139302502,51.39346451857285,1,mustard,harvest,silt,5.607381508440487,124.00631032878384,117.80599481234464,0.0,124.00631032878384,50.29250373924379
