farm_id,soil_moisture,temperature,humidity,rain_forecast,crop_type,growth_stage,soil_type,land_size,water_demand
1,0.3872700594236812,30.330305614882555,72.93907982854921,1,cotton,flowering,clay,5.786396777406786,252.74599503778808
2,0.675357153204958,26.37898821730334,50.19548947075626,0,tomato,vegetative,clay,2.306172585904585,151.77483055547938
3,0.5659969709057024,30.91242905750614,64.31149813150647,1,cauliflower,harvest,silt,8.180076393356524,123.94322932255908
4,0.49932924209851826,28.14785623716958,73.81713200398073,0,onion,seeding,clay,0.8904529675094881,161.0203783687894
5,0.27800932022121827,25.523487668096024,68.9013416192406,0,cauliflower,grain_filling,sandy,7.108346517893215,132.52845808050188
6,0.27799726016810133,34.48656157706565,64.22189372463524,0,rice,maturity,loam,4.2207708774096195,205.0673316105274
7,0.22904180608409974,31.414903690642877,69.33926019819047,1,groundnut,vegetative,silt,5.994949853238233,121.4621551191174
8,0.6330880728874675,33.76918931870847,77.20838009445993,1,cabbage,maturity,silt,6.126461781707411,107.22820192243239
9,0.5005575058716043,31.760560050132533,66.99145401830623,1,carrot,vegetative,sandy,7.25255358427601,121.72775715763093
10,0.5540362888980227,28.56983692140113,73.99358574380318,0,peas,flowering,loam,2.4404909306969658,164.38308827818935
11,0.21029224714790123,30.126880723288114,79.42228175675592,0,sesame,grain_filling,silt,5.548166251548497,140.76010508460857
12,0.6849549260809971,31.75746760347177,71.167046062267,0,fennel,vegetative,loam,4.555796395737261,128.4946245442235
13,0.6162213204002108,34.60252325201438,67.1997729166719,0,millets,flowering,clay,3.180720534173459,136.3373485736795
14,0.3061695553391381,27.536694591216964,51.124578413760204,0,sesame,flowering,silt,5.209414316263,150.93922466512578
15,0.2909124836035503,33.749770586241176,61.23433694763763,0,fennel,harvest,silt,9.544142929885307,131.33076634407468
16,0.2917022549267169,34.240778052942694,66.96328200545355,0,sugarcane,flowering,loam,9.514406998200712,499.7881280529252
17,0.3521211214797688,31.704155146589564,73.91619715118097,0,sugarcane,seeding,silt,3.148764539636553,308.7685436370218
18,0.4623782158161189,34.31266627401338,63.14314368942729,1,onion,harvest,clay,8.899968066569064,185.4726564768683
19,0.4159725093210579,28.978785874773685,78.8017482729432,1,cauliflower,harvest,silt,8.829170689177774,132.68939286710795
20,0.34561457009902097,34.530161760404425,58.153812578710244,1,sweet potato,seeding,sandy,2.8710541522121176,176.94014774864
21,0.5059264473611897,32.02782877165975,72.33701585630949,1,soybean,seeding,silt,6.190032091018986,163.5368366038682
22,0.26974693032602093,25.42005767418812,62.57094251252383,0,yam,maturity,sandy,8.764389713145036,167.41459836156847
23,0.34607232426760903,34.06872831819053,64.57965483697717,1,cabbage,vegetative,silt,5.392450618542131,140.55138264586267
24,0.3831809216468458,29.844728090331927,74.0750610159632,0,carrot,maturity,silt,4.012809935559568,94.77019272333375
25,0.4280349921085179,29.60326984777833,58.886457849551164,1,rapeseed,vegetative,silt,6.682461587310458,184.81671359604465
26,0.5925879806965068,30.664666059796343,52.90436169785429,0,turmeric,maturity,loam,2.138038102710118,208.67222075177352
27,0.2998368910791799,26.49384546771228,65.60766753840281,1,tomato,seeding,silt,2.0364481254842732,164.08338977964758
28,0.45711721920680576,29.691660485673985,65.86383835411246,1,barley,vegetative,silt,8.410138251855251,174.0090255180569
29,0.4962072844310212,33.31127216717746,73.91503316676122,1,anise,seeding,clay,0.8978117014121947,116.12771346528214
